"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2018","36.05","37.89","38.32","35.21","226.20M","-4.91%"
"07/01/2018","37.91","39.08","40.50","36.26","229.71M","-3.78%"
"06/01/2018","39.40","42.98","45.00","39.37","279.80M","-7.73%"
"05/01/2018","42.70","36.76","42.77","35.28","236.12M","16.22%"
"04/01/2018","36.74","36.10","39.67","35.23","222.07M","1.10%"
"03/01/2018","36.34","39.59","39.59","34.50","288.91M","-7.65%"
"02/01/2018","39.35","42.12","43.56","39.31","267.91M","-7.22%"
"01/01/2018","42.41","41.24","45.52","41.15","278.09M","3.46%"
"12/01/2017","40.99","43.19","43.42","40.70","233.31M","-4.87%"
"11/01/2017","43.09","42.72","45.35","41.35","270.79M","0.26%"
"10/01/2017","42.98","41.01","46.76","40.80","358.94M","6.44%"
"09/01/2017","40.38","36.73","40.69","36.62","275.37M","10.51%"
"08/01/2017","36.54","35.81","36.74","34.59","193.49M","1.56%"
"07/01/2017","35.98","34.52","36.63","34.45","204.85M","3.01%"
"06/01/2017","34.93","34.06","35.05","33.05","260.04M","2.95%"
"05/01/2017","33.93","34.63","34.65","31.92","322.12M","-2.05%"
"04/01/2017","34.64","35.33","35.40","33.37","249.49M","-2.04%"
"03/01/2017","35.36","37.20","38.55","33.79","398.00M","-4.02%"
"02/01/2017","36.84","36.68","38.10","34.72","287.89M","0.63%"
"01/01/2017","36.61","34.98","38.38","34.84","287.50M","5.08%"
"12/01/2016","34.84","34.81","37.74","34.67","310.51M","0.90%"
"11/01/2016","34.53","31.70","34.98","30.21","314.37M","9.27%"
"10/01/2016","31.60","31.64","33.08","30.88","244.47M","-0.54%"
"09/01/2016","31.77","31.86","32.55","30.13","299.37M","-0.47%"
"08/01/2016","31.92","31.54","32.09","29.82","262.31M","1.20%"
"07/01/2016","31.54","28.69","32.87","27.52","296.06M","11.45%"
"06/01/2016","28.30","31.15","31.15","27.34","303.57M","-9.53%"
"05/01/2016","31.28","32.05","32.12","30.17","210.05M","-1.64%"
"04/01/2016","31.80","31.18","33.41","29.18","249.35M","1.18%"
"03/01/2016","31.43","30.02","32.38","28.92","269.35M","6.76%"
"02/01/2016","29.44","29.46","30.25","26.69","327.58M","-0.67%"
"01/01/2016","29.64","33.45","33.54","28.32","376.87M","-12.85%"
"12/01/2015","34.01","35.95","36.52","33.54","238.75M","-6.05%"
"11/01/2015","36.20","34.88","36.88","34.19","212.07M","3.70%"
"10/01/2015","34.91","30.29","36.06","29.98","324.33M","16.29%"
"09/01/2015","30.02","29.18","31.81","28.38","356.60M","1.97%"
"08/01/2015","29.44","31.79","32.25","24.62","388.23M","-6.57%"
"07/01/2015","31.51","33.61","33.61","29.89","421.91M","-5.46%"
"06/01/2015","33.33","36.06","36.54","33.06","301.99M","-7.34%"
"05/01/2015","35.97","35.17","36.58","34.51","248.02M","2.60%"
"04/01/2015","35.06","37.27","37.45","34.93","397.27M","-6.51%"
"03/01/2015","37.50","37.41","38.99","36.73","290.62M","0.51%"
"02/01/2015","37.31","32.67","38.18","32.44","325.79M","14.38%"
"01/01/2015","32.62","35.27","36.45","32.36","322.81M","-6.56%"
"12/01/2014","34.91","33.31","35.45","30.30","297.21M","4.43%"
"11/01/2014","33.43","31.35","33.54","30.56","188.59M","6.46%"
"10/01/2014","31.40","31.97","34.24","28.82","447.98M","-1.69%"
"09/01/2014","31.94","34.88","35.14","31.67","262.56M","-8.22%"
"08/01/2014","34.80","33.79","35.00","32.80","203.31M","2.90%"
"07/01/2014","33.82","36.25","38.15","33.78","305.52M","-6.83%"
"06/01/2014","36.30","34.54","37.18","34.29","325.89M","4.97%"
"05/01/2014","34.58","34.67","35.43","32.96","264.10M","0.29%"
"04/01/2014","34.48","34.50","35.70","31.70","494.24M","0.17%"
"03/01/2014","34.42","35.70","38.05","33.57","510.97M","-4.92%"
"02/01/2014","36.20","36.27","37.13","34.36","580.60M","0.33%"
"01/01/2014","36.08","40.68","41.06","35.88","541.05M","-11.72%"
"12/01/2013","40.87","39.10","41.85","37.68","547.92M","5.53%"
"11/01/2013","38.73","37.17","39.18","35.91","433.53M","4.82%"
"10/01/2013","36.95","36.04","37.99","33.92","415.42M","2.72%"
"09/01/2013","35.97","34.68","37.97","33.96","351.53M","5.55%"
"08/01/2013","34.08","36.39","37.18","33.50","250.43M","-4.99%"
"07/01/2013","35.87","33.52","37.71","33.41","262.20M","7.69%"
"06/01/2013","33.31","34.57","35.49","31.13","394.90M","-1.71%"
"05/01/2013","33.89","30.77","34.91","30.11","272.57M","9.89%"
"04/01/2013","30.84","27.65","30.97","27.11","259.06M","10.86%"
"03/01/2013","27.82","26.83","29.30","26.75","214.25M","2.47%"
"02/01/2013","27.15","28.39","29.36","26.19","191.73M","-3.35%"
"01/01/2013","28.09","29.41","30.68","26.62","250.80M","-2.57%"
